[ 12.9832503, 77.6797514, False ]
[ 12.9832503, 77.6797514, False ]
[ 12.9832503, 77.6797514, False ]
[ 12.9832503, 77.6797514, False ]
[ 12.9832503, 77.6797514, False ]
[ 12.9832503, 77.6797514, False ]
[ 12.9832503, 77.6797514, False ]
[ 12.9832503, 77.6797514, False ]
[ 12.9832503, 77.6797514, False ]
[ 12.9832503, 77.6797514, False ]
[ 12.9814198, 77.6813495, False ]
[ 12.9814198, 77.6813495, False ]
[ 12.9814198, 77.6813495, False ]
[ 12.9814198, 77.6813495, False ]
[ 12.9880471, 77.6795602, False ]
[ 12.9880471, 77.6795602, False ]
[ 12.9880642, 77.6799181, False ]
[ 12.9880642, 77.6799181, False ]
[ 12.9880642, 77.6799181, False ]
[ 12.9880642, 77.6799181, False ]
[ 12.9886798, 77.6795487, False ]
[ 12.9886798, 77.6795487, False ]
[ 12.988632, 77.6797839, False ]
[ 12.988632, 77.6797839, False ]
[ 12.9885736, 77.6804102, False ]
[ 12.9885736, 77.6804102, False ]
[ 12.9887669, 77.6806069, False ]
[ 12.9887669, 77.6806069, False ]
[ 12.9887669, 77.6806069, False ]
[ 12.9887669, 77.6806069, False ]
[ 12.9880471, 77.6795602, False ]
[ 12.9880471, 77.6795602, False ]
[ 12.9880471, 77.6795602, False ]
[ 12.9880471, 77.6795602, False ]
[ 12.9893027, 77.6834804, False ]
[ 12.9893027, 77.6834804, False ]
[ 12.9895365, 77.6836352, False ]
[ 12.9895365, 77.6836352, False ]
[ 12.9895269, 77.6837203, False ]
[ 12.9895269, 77.6837203, False ]
[ 12.9895269, 77.6837203, False ]
[ 12.9895269, 77.6837203, False ]
[ 12.9752118, 77.6782747, False ]
[ 12.9752118, 77.6782747, False ]
[ 12.9752118, 77.6782747, False ]
[ 12.9752118, 77.6782747, False ]
[ 12.9907087, 77.6834966, False ]
[ 12.9907087, 77.6834966, False ]
[ 12.9912864, 77.6858459, False ]
[ 12.9912864, 77.6858459, False ]
[ 12.9909802, 77.6864041, False ]
[ 12.9909802, 77.6864041, False ]
[ 12.9909802, 77.6864041, False ]
[ 12.9909802, 77.6864041, False ]
[ 12.9908627, 77.6867172, False ]
[ 12.9908627, 77.6867172, False ]
[ 12.9907524, 77.6871702, False ]
[ 12.9907524, 77.6871702, False ]
[ 12.9910915, 77.6873426, False ]
[ 12.9910915, 77.6873426, False ]
[ 12.9910915, 77.6873426, False ]
[ 12.9910915, 77.6873426, False ]
[ 12.9910915, 77.6873426, False ]
[ 12.9910915, 77.6873426, False ]
[ 12.9910915, 77.6873426, False ]
[ 12.9910915, 77.6873426, False ]
[ 12.9910915, 77.6873426, False ]
[ 12.9910915, 77.6873426, False ]
[ 12.996906, 77.6855951, False ]
[ 12.996906, 77.6855951, False ]
[ 12.9911953, 77.6874428, False ]
[ 12.9911953, 77.6874428, False ]
[ 12.9914671, 77.6874965, False ]
[ 12.9914671, 77.6874965, False ]
[ 12.9969671, 77.6914785, False ]
[ 12.9961374, 77.6937726, False ]
[ 12.9961374, 77.6937726, False ]
[ 12.9967316, 77.6930686, False ]
[ 12.9967316, 77.6930686, False ]
[ 12.9971227, 77.6929344, False ]
[ 12.9971227, 77.6929344, False ]
[ 12.9965713, 77.6924872, False ]
[ 12.9965713, 77.6924872, False ]
[ 12.9962194, 77.6943657, False ]
[ 12.9962194, 77.6943657, False ]
[ 12.9961225, 77.6941868, False ]
[ 12.9961225, 77.6941868, False ]
[ 12.9959579, 77.694969, False ]
[ 12.9959579, 77.694969, False ]
[ 12.9957991, 77.694813, False ]
[ 12.9957991, 77.694813, False ]
[ 12.9956694, 77.6957969, False ]
[ 12.9956694, 77.6957969, False ]
[ 12.995678, 77.6959758, False ]
[ 12.995678, 77.6959758, False ]
[ 12.9954958, 77.6963156, False ]
[ 12.9954958, 77.6963156, False ]
[ 12.995678, 77.6959758, False ]
[ 12.995678, 77.6959758, False ]
[ 12.9954958, 77.6963156, False ]
[ 12.9954958, 77.6963156, False ]
[ 12.9954958, 77.6963156, False ]
[ 12.994776, 77.6992855, False ]
[ 12.9954958, 77.6963156, False ]
[ 12.9954958, 77.6963156, False ]
[ 12.9935138, 77.7034521, False ]
[ 12.9919291, 77.7148064, False ]
[ 12.9919445, 77.7167714, False ]
[ 12.9919445, 77.7167714, False ]
[ 12.990782, 77.7146249, False ]
